Provinsi,Penduduk Miskin,Tingkat Pengangguran terbuka,Upah Minimum Provinsi,Rata Pengeluaran per Kapita Sebulan,Rataan upah per jam,AHH, Status Kepemilikan Rumah,Angka Melek Huruf,Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas,Klaster
Aceh,14.75,6.17,3166460,1180132.93,16772,70.21,83.32,1.75,9.79,2
Bali,4.53,4.8,2516971,1442609.77,16857,72.61,83.56,4.47,9.74,2
Banten,6.24,8.09,2501203,1619571.71,23880,70.41,84.98,1.84,9.46,1
Bengkulu,14.34,3.59,2238094,1196483.76,16501,69.71,87.46,2.2,9.28,2
DI Yogyakarta,11.49,4.06,1840915,1480374.28,14916,75.105,85.5,4.85,10.07,2
DKI Jakarta,4.61,7.18,4641854,2525347.37,32685,73.335,56.13,0.31,11.3,1
Gorontalo,15.51,2.58,2800580,1142996.73,14289,68.545,84.81,1.58,8.39,2
Jambi,7.7,4.59,2649034,1261836.78,16042,71.53,86.21,1.9,9.07,2
Jawa Barat,7.98,8.31,1841487,1437394.12,19038,73.625,82.61,1.51,9.14,2
Jawa Tengah,10.98,5.57,1812935,1121793.86,12604,74.62,90.98,5.74,8.38,2
Jawa Timur,10.49,5.49,1891567,1165137.91,15119,71.76,90.87,6.68,8.5,2
Kalimantan Barat,6.81,5.11,2434328,1232618.22,16337,71.04,90.79,6.04,8.1,2
Kalimantan Selatan,4.61,4.74,2906473,1407718.94,18661,69.18,81.2,1.64,8.89,2
Kalimantan Tengah,5.22,4.26,2922516,1442295.24,19795,70.05,80.92,0.88,9.03,2
Kalimantan Timur,6.44,5.71,3014497,1797485.53,22281,74.66,74.05,1.03,10.13,1
Kalimantan Utara,6.86,4.33,3016738,1570185.98,20320,72.62,74.33,2.29,9.45,2
Kepulauan Bangka Belitung,4.61,4.77,3264884,1654280.53,18132,71.015,88.39,1.83,8.57,2
Kepulauan Riau,6.03,8.23,3050172,1831700.4,23528,70.525,69.39,0.98,10.46,1
Lampung,11.44,4.52,2440486,1074987.43,13218,71.02,91.81,2.75,8.61,2
Maluku,16.23,6.88,2619312,1169828.33,17006,66.48,83.05,0.6,10.37,2
Maluku Utara,6.37,3.98,2862231,1128586.35,18278,68.815,89.41,1.22,9.6,2
Nusa Tenggara Barat,13.82,2.89,2207212,1160662.07,11734,67.105,90.74,11.03,8.31,3
Nusa Tenggara Timur,20.23,3.54,1975000,884102.08,13012,67.485,89.59,5.37,8.25,3
Papua,26.8,2.83,3561932,1454320.71,24097,66.25,86.38,18.81,7.31,3
Papua Barat,21.43,5.37,3200000,1448505.39,24128,66.49,81.8,2.36,10.14,2
Riau,6.84,4.37,2938564,1425170.86,18626,71.965,76.52,0.82,9.54,2
Sulawesi Barat,11.92,2.34,2678863,955905.28,14774,65.67,92.51,6.18,8.47,3
Sulawesi Selatan,8.66,4.51,3165876,1142611.7,17257,70.995,87.4,6.69,9.09,2
Sulawesi Tengah,12.3,3,2390739,1083678.96,15890,68.965,88.32,1.95,9.17,2
Sulawesi Tenggara,11.27,3.36,2576016,1111595.3,17542,71.455,89.74,4.21,9.59,2
Sulawesi Utara,7.34,6.61,3310723,1236705.51,18335,72.1,79.12,0.19,9.87,2
Sumatera Barat,6.04,6.28,2512539,1342985.51,15887,69.94,72.45,0.71,9.51,2
Sumatera Selatan,11.95,4.63,3144446,1148812.47,15978,70.335,84,1.35,8.82,2
Sumatera Utara,8.33,6.16,2522609,1216496.65,15131,69.63,70.04,0.89,9.99,2
