Provinsi,"Populasi
(jiwa.
2022)","Luas
(km2)","Kepadatan penduduk
(jiwa/km²)","IPM
(BPS.
2020)",APBD provinsi,APBD provinsi,PDRB harga berlaku,PDRB harga berlaku
Provinsi,"Populasi
(jiwa.
2022)","Luas
(km2)","Kepadatan penduduk
(jiwa/km²)","IPM
(BPS.
2020)","Pendapatan
(miliar Rp.
2022)","Belanja
(miliar Rp.
2022)","Total
(miliar Rp.
2021)","Per kapita
(ribu Rp.
2021)"
Aceh,5379937,56834.746,93.69,71.99,13352.98,16170.65,184976.3,34680.46
Sumatera Utara,15305230,72460.744,209.5,71.77,12011.63,12649.63,859870.95,57569.79
Sumatera Barat,5624143,42119.542,132.81,72.38,5924.28,6204.28,252749.65,45293.75
Riau,6646390,89935.896,71.77,72.71,8656.85,8656.85,843211.15,129852.59
Jambi,3642763,49026.579,72.58,71.29,4215.31,4795.85,233725.46,65193.22
Sumatera Selatan,8646686,86771.684,97.85,70.01,9902.57,9766.47,491566.45,57487.44
Bengkulu,2047110,20128.340,100.98,71.4,2760.08,2838.78,79576.33,39143.43
Lampung,8901566,33570.264,263.68,69.69,6558.09,7011.7,371903.17,40950.42
Kepulauan Bangka Belitung,1472427,16690.129,87.2,71.47,1927.54,2079.66,85942.7,58338.82
Kepulauan Riau,2101215,8269.708,248.41,75.59,3480.32,3870.32,275636.33,130125.23
DKI Jakarta,11249585,660.982,17007.8,80.77,77448.71,75757.23,2914581.08,274709.59
Jawa Barat,48637180,37044.858,1284.74,72.09,31540.87,31525.7,2209822.38,45299.58
Jawa Tengah,37044858,34337.489,1084.26,71.87,24303.74,24589.87,1420799.91,38669.11
DI Yogyakarta,3677522,3170.645,1158.1,79.97,5364.61,5761.35,149369.17,40229.83
Jawa Timur,41144067,48036.840,853.45,71.71,27642.17,29454.86,2454498.8,60043.33
Banten,12145161,9352.767,1260.49,72.45,10645.88,11223.18,665921.92,55210.65
Bali,4287193,5590.150,764.55,75.5,5044.66,6102.49,219800.03,50381.21
Nusa Tenggara Barat,5473507,19675.889,274.71,68.25,5399.08,5961.58,140153.32,26002.48
Nusa Tenggara Timur,5514216,46446.644,118.07,65.19,5060.28,5486.76,110885.75,20581.13
Kalimantan Barat,5482046,147037.037,37.15,67.66,5392.93,5684.42,231321.16,42282.9
Kalimantan Tengah,2672790,153443.908,17.21,71.05,5167.26,5191.68,170001.21,62912.85
Kalimantan Selatan,4141533,37135.054,110.34,70.91,6278.84,6243.84,192576.58,46712.68
Kalimantan Timur,3891849,126981.279,29.74,76.24,10861.8,11501.77,695158.33,182540.82
Kalimantan Utara,70962,70101.184,10,70.63,2146.31,2404.94,110668.94,155080.62
Sulawesi Utara,2664313,14500.275,183.03,72.93,4000.12,3817.65,142600.02,54043.18
Sulawesi Tengah,3074958,61605.718,49.55,69.55,8678.12,6808.72,246987.36,81733.04
Sulawesi Selatan,9255930,45330.550,201.13,71.93,9223.13,9109.28,545230.03,59656.24
Sulawesi Tenggara,2690791,36159.713,73.84,71.45,3840.47,4767.32,139057.83,52293.97
Gorontalo,1203921,12025.147,99.52,68.68,1757.29,1739.47,43896.37,37170.45
Sulawesi Barat,1447186,16594.749,86.89,66.11,1827.08,2015.66,50341.23,35036.02
Maluku,1886735,46158.267,40.64,69.49,3328.15,4015.22,48564.22,26072.98
Maluku Utara,1337368,32998.696,39.92,68.49,2849.04,3335.96,52359.85,40302.32
Papua,1036568,82680.958,13.78,60.44,14763.75,15758.96,235343.25,54034.26
Papua Barat,557974,60275.310,11.54,65.09,6311.85,6778.26,85072.86,73539
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
